iosCreateImagesetFolders,androidMipmapInsteadOfDrawable,scaleIsHeightDp,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,threads,outputCompressionMode,roundingStrategy,platform,time
0,0,1,1,0,0,90,1,3,2,0.53
0,0,1,1,1,1,90,2,3,1,0.51
0,0,1,1,0,0,90,4,2,2,0.51
0,0,1,1,0,0,90,1,1,3,0.58
1,0,0,0,0,0,90,3,2,2,0.51
1,0,0,1,1,0,10,4,3,2,0.64
1,0,0,1,1,0,10,1,3,2,0.61
1,0,0,1,1,0,10,1,3,2,0.59
0,0,1,0,0,0,90,4,3,1,0.48
0,1,1,0,1,0,90,2,1,1,0.6
0,0,0,0,1,0,90,3,2,4,0.53
0,1,1,1,1,0,90,1,3,1,0.48
0,0,0,0,1,0,90,3,2,4,0.54
0,0,0,1,1,1,90,4,1,1,0.5
0,0,0,1,1,1,90,1,1,1,0.5
0,0,1,1,1,1,10,2,3,1,0.63
0,0,1,1,1,1,90,2,1,1,0.5
0,0,0,0,0,1,90,4,3,1,0.49
0,0,0,0,0,0,90,1,2,4,0.51
0,0,1,1,1,0,10,4,3,2,0.6
0,1,0,0,0,0,90,4,3,1,0.48
0,0,0,0,0,0,90,1,2,3,0.56
0,0,0,0,0,0,90,1,2,2,0.5
0,1,0,0,0,0,90,2,3,1,0.49
0,0,1,1,1,0,10,1,3,2,0.59
0,1,0,0,1,1,90,4,1,1,0.52
0,1,0,0,1,1,90,1,1,1,0.53
0,0,0,1,0,0,90,3,2,2,0.51
0,1,1,0,0,1,90,1,3,1,0.52
0,0,1,1,1,1,10,2,1,1,0.61
0,0,1,0,0,0,90,3,2,2,0.51
0,0,0,1,1,1,90,2,3,1,0.5
0,0,0,0,1,1,90,3,1,1,0.53
0,1,1,1,1,0,90,4,1,1,0.6
0,0,0,1,1,0,90,1,2,4,0.53
0,1,1,1,1,0,90,1,1,1,0.58
0,0,0,1,1,0,90,1,2,4,0.51
0,1,1,1,1,0,90,3,3,1,0.52
0,0,1,0,1,0,90,1,1,3,0.61
0,0,0,0,1,1,90,3,1,1,0.51
0,0,1,1,0,0,10,1,1,3,0.59
0,0,0,1,1,0,90,1,2,3,0.51
0,0,1,0,0,0,90,1,3,1,0.53
0,0,0,0,0,0,90,4,2,4,0.53
0,0,1,0,1,1,90,2,1,1,0.52
0,0,1,0,1,0,10,1,1,3,0.58
1,0,1,1,0,0,90,3,2,2,0.5
0,0,1,1,1,0,10,1,3,2,0.6
0,1,1,1,1,0,90,3,3,1,0.48
0,1,0,1,1,0,90,3,3,1,0.55
0,0,0,1,1,0,90,4,2,4,0.53
0,0,0,0,0,1,90,1,3,1,0.51
1,0,1,0,0,0,90,1,2,2,0.52
1,0,0,0,0,0,90,4,2,2,0.51
0,1,1,1,1,0,90,3,1,1,0.6
0,0,0,1,0,0,10,2,2,2,0.63
0,1,1,1,1,0,90,3,1,1,0.56
0,0,0,1,1,1,10,2,3,1,0.64
1,0,1,1,0,0,10,2,2,2,0.59
0,1,0,1,1,0,90,3,1,1,0.58
0,1,0,1,1,0,90,3,1,1,0.56
0,1,1,0,1,0,90,3,3,1,0.51
0,1,1,1,1,0,90,3,1,1,0.59
0,0,1,0,0,0,90,4,2,2,0.52
0,0,0,1,1,1,90,2,1,1,0.5
0,1,0,1,1,1,90,3,1,1,0.52
0,1,1,0,1,0,90,3,1,1,0.56
0,0,0,1,1,1,10,2,1,1,0.62
0,1,0,1,1,1,90,3,1,1,0.51
0,1,0,0,1,0,90,4,2,1,0.5
0,0,1,1,1,1,90,2,3,1,0.51
0,1,1,0,1,0,90,3,1,1,0.58
0,1,0,1,0,0,90,4,2,1,0.51
0,0,1,1,1,1,10,2,3,1,0.63
1,0,0,0,0,0,90,1,2,2,0.52
0,0,1,0,0,0,90,1,2,2,0.5
0,1,1,1,0,0,90,3,3,1,0.51
0,0,0,1,0,0,10,2,3,2,0.6
1,0,1,1,0,0,10,2,3,2,0.6
1,0,1,0,1,0,10,3,3,2,0.6
0,0,1,0,0,0,90,4,2,4,0.51
1,0,1,0,1,0,10,3,1,2,0.6
0,0,1,0,0,0,90,1,3,2,0.51
1,0,1,0,1,0,10,3,1,2,0.58
0,0,1,1,1,1,90,3,1,1,0.49
0,0,1,0,1,1,10,2,3,1,0.63
1,0,0,1,1,0,10,2,2,2,0.61
0,0,1,1,1,1,90,2,1,1,0.49
0,0,1,0,0,0,90,1,2,4,0.52
0,0,0,0,0,0,90,4,2,3,0.5
0,0,1,1,1,1,10,2,1,1,0.62
0,0,1,0,1,1,90,2,1,1,0.51
0,0,1,1,1,0,10,2,2,2,0.61
0,0,0,0,0,0,90,2,2,3,0.54
1,0,1,0,0,0,90,4,2,2,0.5
0,0,1,0,1,1,10,2,1,1,0.65
1,0,0,1,1,0,10,2,3,2,0.59
0,0,1,1,1,0,10,2,3,2,0.61
0,0,1,1,1,0,90,3,2,2,0.51
0,0,1,0,0,0,90,3,2,3,0.52
1,0,1,0,0,0,90,1,2,2,0.51
0,0,0,0,0,0,90,3,2,4,0.51
0,0,1,0,0,0,90,3,2,4,0.52
0,0,1,0,1,1,90,3,2,1,0.53
0,0,1,0,1,1,90,3,2,1,0.49
0,0,1,0,1,1,90,3,1,1,0.5
0,0,1,0,1,1,90,3,3,1,0.51
0,0,1,1,1,1,10,4,3,1,0.62
0,0,1,0,1,1,90,3,3,1,0.5
0,0,0,0,0,0,90,3,2,4,0.5
0,0,1,0,1,1,10,3,1,1,0.62
0,0,1,1,1,1,90,3,1,1,0.53
0,0,1,0,0,0,90,3,2,4,0.5
0,0,1,0,0,0,90,4,3,2,0.51
0,0,1,1,1,1,10,1,3,1,0.62
0,0,1,1,1,1,90,4,2,1,0.5
0,0,0,0,0,0,90,2,2,4,0.52
0,0,1,1,1,1,90,4,3,1,0.49
0,1,1,0,1,1,90,3,1,1,0.53
0,0,0,0,0,0,90,2,2,3,0.52
0,0,1,1,1,1,90,1,3,1,0.5
0,0,1,0,0,0,90,2,3,2,0.54
0,0,0,0,0,0,90,1,2,3,0.53
0,0,0,0,0,0,90,4,2,3,0.5
0,0,1,0,1,1,10,3,3,1,0.61
0,0,0,0,0,0,90,1,2,4,0.52
0,0,1,0,0,0,90,4,2,2,0.5
0,0,1,0,0,0,90,1,3,1,0.52
0,0,1,1,1,1,10,4,1,1,0.62
0,0,0,0,0,0,90,4,2,4,0.53
0,0,0,0,0,1,90,1,3,1,0.53
0,0,1,0,0,0,90,1,3,2,0.53
0,0,0,0,0,0,90,3,2,2,0.5
0,0,1,1,1,1,10,1,1,1,0.64
0,0,1,1,1,1,90,4,1,1,0.52
0,1,1,0,1,1,90,3,1,1,0.5
0,0,0,0,1,0,90,3,2,3,0.51
0,0,0,1,0,0,90,3,2,4,0.51
0,0,0,0,0,0,90,1,3,1,0.5
0,0,1,0,0,0,90,1,2,2,0.54
0,0,1,0,1,1,10,3,3,1,0.59
0,1,1,1,0,1,90,3,1,1,0.53
0,0,0,1,0,0,90,3,2,3,0.51
1,0,0,0,0,0,90,4,3,2,0.49
1,0,0,0,0,0,90,1,3,2,0.52
0,0,0,0,1,0,90,3,3,4,0.51
0,1,1,1,0,1,90,3,1,1,0.5
0,0,1,0,0,0,90,3,2,2,0.51
1,0,0,0,0,0,90,3,2,2,0.51
0,1,0,1,0,1,90,4,1,1,0.51
0,0,1,0,0,0,90,4,3,2,0.53
0,0,1,0,0,0,90,1,3,1,0.51
0,0,1,1,1,1,90,1,1,1,0.52
0,0,0,0,0,1,90,1,3,1,0.48
0,0,0,0,0,1,10,1,2,1,0.63
0,0,1,0,0,0,90,3,2,2,0.5
0,0,0,1,0,0,10,1,3,1,0.61
0,0,1,0,1,1,10,3,1,1,0.66
0,0,1,0,0,0,90,1,3,2,0.5
1,0,0,0,0,0,90,3,2,2,0.52
0,0,0,1,1,1,10,3,1,1,0.62
1,0,1,0,1,0,90,4,2,2,0.53
1,0,1,0,1,0,90,3,1,2,0.57
0,0,0,0,1,0,90,3,3,3,0.52
0,0,0,0,0,0,90,3,2,2,0.51
0,1,0,1,0,1,90,1,1,1,0.5
0,0,0,1,0,0,90,1,3,1,0.52
0,0,1,1,1,0,90,3,3,1,0.51
0,0,1,0,0,0,90,3,2,2,0.51
0,0,0,1,1,1,90,3,1,1,0.54
1,0,1,0,1,0,90,1,2,2,0.51
0,0,0,1,1,1,90,3,1,1,0.51
0,0,0,1,0,0,90,3,3,3,0.51
1,0,1,0,1,0,90,1,2,2,0.51
0,0,0,1,1,1,10,3,1,1,0.63
0,0,0,0,1,0,10,3,2,4,0.63
0,0,0,0,1,0,90,4,3,2,0.51
0,1,0,0,0,1,90,3,1,1,0.51
0,0,1,0,1,1,10,3,1,1,0.61
0,0,0,0,1,0,10,3,2,3,0.56
0,0,1,0,1,1,90,3,1,1,0.53
0,0,0,1,0,0,90,4,2,4,0.53
0,0,0,1,0,0,10,3,2,4,0.63
0,1,0,0,0,1,90,3,1,1,0.54
0,1,1,1,1,1,90,2,1,1,0.53
0,0,1,0,1,1,90,3,1,1,0.52
0,0,0,0,1,0,90,1,3,2,0.51
1,0,1,0,1,0,90,4,3,2,0.52
0,0,0,1,0,0,90,1,2,4,0.5
1,0,1,0,1,0,90,1,3,2,0.49
1,0,1,0,1,0,90,1,3,2,0.51
0,1,1,0,0,1,90,2,1,1,0.51
0,0,1,1,1,0,90,3,3,1,0.52
1,0,0,0,0,0,90,2,2,2,0.53
0,0,0,1,0,0,10,1,3,3,0.58
0,0,0,1,0,0,90,4,2,2,0.53
0,1,0,1,0,1,90,2,1,1,0.54
0,0,0,1,0,0,90,1,3,3,0.51
0,0,0,1,0,0,10,3,2,3,0.57
1,0,1,1,0,0,90,1,2,2,0.5
0,0,0,1,0,0,90,1,3,4,0.51
0,0,1,1,1,1,90,3,3,1,0.53
0,0,1,1,1,1,90,3,3,1,0.51
0,0,0,0,1,0,10,3,3,3,0.56
0,1,1,1,0,0,90,4,1,1,0.59
0,0,1,0,0,0,90,2,2,2,0.53
0,1,1,1,0,0,90,1,1,1,0.6
0,0,0,1,1,1,90,3,3,1,0.51
0,0,0,1,0,0,90,3,2,2,0.52
0,0,0,0,1,0,90,4,3,1,0.53
0,0,0,1,0,0,90,2,3,1,0.52
0,1,0,0,0,0,90,2,2,1,0.53
0,0,1,1,0,1,90,1,3,1,0.51
0,0,0,1,0,0,10,3,3,4,0.6
0,0,1,1,0,1,90,3,1,1,0.51
0,0,0,1,0,0,90,2,3,2,0.52
0,0,0,1,0,0,10,3,3,3,0.58
0,1,0,1,1,1,90,3,3,1,0.49
0,0,0,1,0,0,90,3,2,1,0.54
1,0,0,0,0,0,90,2,3,2,0.51
0,0,0,0,1,0,90,2,2,2,0.52
0,0,1,1,0,1,10,3,1,1,0.61
1,0,1,0,1,0,90,2,2,2,0.52
0,0,1,0,0,0,90,3,2,1,0.51
0,0,1,0,1,1,10,3,1,1,0.61
1,0,1,0,1,0,90,2,3,2,0.53
0,0,1,0,0,0,90,3,3,1,0.5
0,0,1,1,0,1,90,3,1,1,0.51
0,0,0,1,0,0,90,2,2,2,0.53
1,0,0,1,1,0,90,4,1,2,0.6
0,0,0,1,1,0,90,4,2,3,0.48
0,0,1,0,0,0,90,3,3,1,0.51
0,0,1,1,0,1,90,4,3,1,0.51
1,0,0,1,1,0,90,1,1,2,0.59
0,0,0,1,1,0,90,2,2,4,0.51
1,0,0,0,0,0,90,2,2,2,0.54
0,0,1,1,0,1,90,1,3,1,0.53
0,0,0,1,1,0,90,2,2,3,0.5
0,0,1,0,0,0,90,2,2,1,0.53
1,0,1,1,0,0,90,1,3,2,0.49
1,0,1,0,0,0,90,3,1,2,0.56
0,1,0,1,1,1,90,3,3,1,0.5
1,0,1,0,0,0,90,3,1,2,0.6
0,0,0,0,0,1,90,2,2,1,0.5
0,0,1,1,0,1,90,4,1,1,0.51
1,0,1,1,0,0,90,3,3,2,0.51
0,0,1,1,0,1,90,1,1,1,0.53
1,0,1,1,0,0,90,3,3,2,0.52
1,0,1,1,0,0,90,3,2,2,0.5
1,0,0,0,0,0,90,3,3,2,0.54
0,0,0,1,0,1,90,3,3,1,0.49
0,0,1,1,0,0,90,4,2,3,0.52
1,0,0,1,0,0,90,3,1,2,0.56
0,0,0,1,0,1,90,3,1,1,0.53
1,0,1,1,0,0,90,1,2,2,0.5
1,0,0,1,0,0,90,3,1,2,0.6
1,0,0,0,1,0,90,3,1,2,0.55
0,0,0,1,0,0,90,3,3,2,0.53
1,0,0,0,1,0,90,3,1,2,0.58
1,0,1,1,0,0,90,4,1,2,0.59
1,0,1,1,0,0,90,1,1,2,0.59
1,0,1,0,1,0,90,4,1,2,0.58
0,0,0,1,0,1,90,3,3,1,0.51
0,0,1,1,1,0,90,3,3,2,0.5
0,0,1,0,0,0,90,3,3,2,0.49
0,0,1,1,0,1,90,3,3,1,0.5
0,0,1,1,0,0,90,1,2,3,0.51
0,0,0,1,0,1,90,3,1,1,0.52
0,1,0,1,0,1,90,1,3,1,0.52
1,0,1,0,1,0,90,1,1,2,0.58
1,0,1,1,1,0,90,3,1,2,0.57
0,0,0,1,0,0,90,3,2,2,0.51
0,1,1,1,0,1,90,3,3,1,0.51
0,0,1,1,0,0,90,2,2,4,0.51
1,0,1,1,1,0,90,3,1,2,0.56
0,0,0,0,0,0,90,3,3,2,0.52
0,1,1,1,0,0,90,1,3,1,0.49
0,0,0,0,0,0,90,3,3,2,0.51
0,0,0,0,0,0,10,1,3,1,0.62
0,0,0,0,0,0,90,1,3,3,0.51
0,0,0,0,0,0,10,1,3,3,0.57
1,0,0,0,0,0,90,3,3,2,0.54
0,0,0,1,0,0,90,3,3,2,0.51
1,0,0,0,0,0,90,3,3,2,0.49
0,0,1,1,0,0,90,2,2,3,0.49
0,0,1,0,0,1,90,3,3,1,0.54
0,0,1,0,1,0,90,4,2,3,0.52
0,0,1,1,0,1,90,3,3,1,0.53
0,1,1,1,0,1,90,3,3,1,0.51
0,0,1,0,1,0,90,1,2,3,0.52
0,0,0,0,0,0,90,1,3,4,0.52
0,0,0,0,0,0,10,1,3,4,0.63
0,0,1,1,1,0,90,4,1,2,0.58
0,1,0,1,0,1,90,3,3,1,0.5
0,0,1,1,1,0,90,1,1,2,0.62
1,0,1,1,1,0,90,3,3,2,0.5
0,0,0,0,1,0,90,1,3,1,0.5
0,0,1,1,1,0,90,1,3,1,0.54
0,0,1,1,0,0,90,3,1,2,0.59
0,0,0,1,0,0,90,3,3,2,0.5
0,0,0,0,1,0,90,4,3,2,0.49
0,0,1,0,0,1,90,3,1,1,0.49
1,0,0,1,1,0,90,1,3,2,0.5
0,0,1,0,0,0,90,2,2,3,0.52
0,0,1,1,0,1,90,3,1,1,0.5
0,0,1,1,0,0,90,3,1,2,0.56
0,0,1,0,1,0,90,2,2,3,0.51
0,0,1,0,0,0,90,3,3,2,0.53
0,0,1,1,1,0,90,1,3,2,0.54
1,0,1,1,1,0,90,3,3,2,0.52
0,0,1,0,1,0,90,2,3,4,0.52
0,0,1,0,0,0,90,2,2,4,0.53
0,0,1,0,1,0,90,3,1,2,0.59
0,0,1,0,0,0,90,3,3,2,0.52
0,0,1,0,1,0,90,3,1,2,0.59
0,0,1,0,0,1,90,3,3,1,0.49
1,0,0,1,1,0,90,2,1,2,0.57
0,0,1,1,0,0,90,2,3,4,0.5
0,0,1,1,1,0,90,2,1,2,0.58
0,0,1,0,0,0,90,4,2,3,0.52
0,0,1,1,0,1,90,3,3,1,0.52
1,0,1,0,1,0,90,1,3,2,0.5
0,0,0,0,1,0,90,1,3,1,0.51
0,0,1,0,0,1,90,3,1,1,0.5
0,0,1,0,0,0,90,1,2,3,0.53
0,0,0,1,1,0,90,4,3,4,0.52
0,0,0,1,1,0,10,4,3,4,0.59
0,0,0,0,1,0,90,1,3,2,0.53
0,0,1,1,0,1,90,3,1,1,0.52
1,0,1,0,1,0,90,2,1,2,0.58
0,0,0,1,0,0,90,3,2,4,0.51
0,0,1,0,0,0,90,4,2,1,0.52
0,0,0,1,1,0,10,1,3,4,0.61
0,0,0,1,1,0,10,4,2,4,0.62
1,0,1,1,0,0,90,2,1,2,0.56
0,0,0,0,1,0,90,4,2,1,0.53
0,0,0,1,0,0,90,3,2,4,0.53
0,0,1,1,0,1,90,2,3,1,0.55
0,0,1,1,1,0,90,3,3,4,0.51
1,0,1,0,0,0,90,2,1,2,0.57
0,0,0,1,1,0,10,1,2,4,0.59
0,0,0,0,1,0,90,1,2,1,0.52
0,0,1,1,1,0,90,1,2,1,0.49
1,0,0,0,0,0,10,3,2,2,0.59
0,0,0,0,0,0,90,4,3,4,0.52
0,0,1,1,0,1,90,2,1,1,0.51
0,0,1,0,0,0,90,1,2,1,0.53
0,0,1,1,0,1,90,2,2,1,0.52
0,0,0,0,1,0,90,4,2,4,0.48
0,0,1,1,1,0,90,3,2,1,0.5
1,0,0,1,0,0,90,2,1,2,0.57
0,0,1,0,0,0,90,4,2,4,0.53
0,0,1,1,0,1,10,2,3,1,0.65
0,0,1,1,0,1,10,2,2,1,0.64
0,0,0,0,1,0,90,1,2,4,0.52
0,0,0,0,0,0,90,1,3,4,0.5
0,1,1,1,0,1,10,2,2,1,0.62
0,0,1,0,0,0,90,1,2,4,0.5
0,1,0,1,0,1,10,2,2,1,0.67
0,0,1,1,1,1,90,3,2,1,0.48
0,0,1,1,0,0,90,2,1,1,0.6
0,0,1,1,0,0,90,2,1,2,0.58
0,0,1,1,0,0,90,2,1,3,0.58
0,0,0,1,1,0,90,1,3,4,0.51
0,0,0,1,1,0,10,1,3,4,0.63
0,0,0,1,0,0,10,3,2,2,0.62
0,0,1,1,0,0,90,2,1,4,0.55
0,0,1,1,1,1,90,3,2,1,0.51
0,0,1,1,0,1,90,2,1,1,0.52
0,1,1,1,1,0,90,3,2,1,0.52
0,0,0,0,0,0,10,4,3,4,0.6
0,0,0,1,0,1,90,2,1,1,0.49
0,0,1,0,0,0,10,3,2,2,0.6
0,0,1,1,1,0,90,1,2,4,0.51
0,0,0,0,1,0,90,4,2,2,0.53
0,0,0,1,0,0,10,3,2,4,0.62
0,0,0,0,0,0,10,1,3,4,0.61
0,0,1,0,0,0,10,3,2,4,0.63
0,1,1,1,0,1,10,2,3,1,0.64
0,0,1,0,0,1,90,2,1,1,0.51
1,0,0,0,0,0,10,3,2,2,0.58
0,1,1,1,0,0,90,2,1,1,0.59
0,1,1,1,1,0,90,3,2,1,0.51
0,0,0,1,0,0,10,3,2,2,0.6
0,1,0,1,1,1,90,3,2,1,0.52
0,1,0,0,0,0,90,4,2,1,0.5
0,0,0,0,1,0,90,1,2,2,0.53
0,1,0,1,0,0,90,2,1,1,0.59
0,1,1,0,0,0,90,2,1,1,0.61
0,1,0,0,0,1,90,2,1,1,0.51
0,1,0,1,0,1,10,2,3,1,0.62
1,0,0,1,1,0,90,1,2,2,0.5
0,1,0,0,0,0,90,1,2,1,0.51
0,0,0,1,1,0,90,1,2,4,0.53
0,0,0,0,0,1,90,4,2,1,0.51
0,0,0,0,0,1,90,1,2,1,0.53
0,1,0,1,1,1,90,3,2,1,0.51
0,0,1,0,0,0,10,3,2,2,0.63
0,0,0,1,1,0,90,1,3,1,0.52
1,0,1,1,0,0,90,2,1,2,0.58
0,0,1,1,1,1,90,3,2,1,0.53
0,0,1,1,0,0,90,3,1,1,0.59
0,0,0,0,0,1,90,4,2,1,0.54
0,0,1,1,0,0,90,3,1,4,0.6
0,0,1,1,1,0,90,1,2,2,0.51
0,0,0,1,1,0,90,1,2,1,0.51
0,0,0,0,0,1,90,1,2,1,0.52
0,0,0,0,1,0,90,3,3,1,0.51
0,0,1,1,0,0,90,3,1,3,0.52
0,1,1,0,0,1,10,2,3,1,0.65
0,0,0,0,1,0,90,2,2,1,0.52
0,1,1,0,0,1,10,2,2,1,0.64
0,1,1,0,0,1,90,2,2,1,0.51
0,1,0,1,0,1,90,2,2,1,0.51
0,0,0,1,0,0,10,3,2,4,0.6
0,0,1,1,0,0,90,3,1,1,0.57
0,1,1,1,0,1,90,2,3,1,0.5
0,0,1,0,0,0,10,3,2,4,0.6
0,1,1,0,0,1,90,2,3,1,0.52
0,1,0,1,0,1,90,2,3,1,0.53
1,0,0,0,0,0,90,3,1,2,0.59
0,0,0,0,1,0,90,3,2,1,0.51
0,0,0,1,1,1,90,3,2,1,0.53
0,0,0,0,0,1,90,2,2,1,0.51
0,0,0,0,1,0,90,3,3,1,0.54
0,0,0,1,1,1,90,3,2,1,0.5
0,0,1,1,0,0,90,3,1,4,0.61
0,0,1,1,0,0,90,3,1,3,0.58
1,0,0,0,0,0,90,3,1,2,0.57
0,0,0,1,0,0,90,3,1,2,0.59
0,0,0,0,0,0,90,2,2,1,0.53
0,1,1,1,1,0,90,3,2,1,0.53
0,1,0,1,1,1,90,3,2,1,0.52
0,1,1,1,0,1,90,3,2,1,0.5
0,0,0,0,1,0,90,3,3,4,0.5
0,1,1,1,0,1,90,2,2,1,0.49
0,0,1,1,0,1,90,3,2,1,0.5
0,0,1,1,0,1,90,3,2,1,0.53
0,0,0,1,1,0,90,1,3,3,0.5
0,0,1,0,0,0,90,3,1,3,0.58
0,0,0,1,0,0,90,3,1,2,0.58
0,0,1,0,0,0,90,3,1,4,0.6
0,0,1,0,0,0,90,3,1,3,0.57
0,1,1,0,0,1,90,2,1,1,0.51
0,1,1,1,0,1,90,3,2,1,0.51
0,1,1,1,0,1,90,3,2,1,0.53
0,0,1,0,0,0,90,3,1,4,0.58
0,0,1,0,0,0,90,3,1,2,0.59
0,0,0,0,1,0,90,2,2,4,0.51
0,1,0,1,0,1,90,3,2,1,0.51
0,0,0,1,1,0,90,4,3,3,0.52
0,1,0,1,0,1,90,3,2,1,0.5
0,1,0,0,0,0,90,2,2,1,0.52
0,0,1,1,0,1,90,3,1,1,0.48
0,0,1,1,0,1,90,3,1,1,0.52
0,0,1,0,0,0,90,3,1,1,0.55
0,0,1,1,1,1,90,3,1,1,0.5
0,0,1,0,0,0,90,3,1,1,0.59
0,0,1,0,0,0,90,3,1,2,0.6
0,0,0,1,0,0,90,3,1,4,0.56
0,1,0,1,0,1,90,2,1,1,0.54
0,0,1,1,1,1,90,3,1,1,0.53
0,0,0,1,1,0,90,1,3,3,0.55
0,0,0,1,1,0,90,1,2,3,0.53
0,0,0,1,0,0,90,3,1,4,0.58
0,1,1,1,0,1,90,2,1,1,0.52
0,1,0,1,0,1,10,2,1,1,0.62
0,0,0,0,0,0,90,1,2,1,0.51
0,1,1,1,0,1,10,2,1,1,0.61
0,1,1,0,0,1,10,2,1,1,0.64
0,0,0,1,1,0,90,1,3,3,0.52
0,0,1,1,0,1,10,2,1,1,0.63
0,0,0,1,1,1,90,3,1,1,0.52
0,1,1,1,0,1,90,2,3,1,0.51
0,1,0,0,0,0,90,4,2,1,0.51
0,1,1,1,0,1,90,2,2,1,0.5
0,0,0,0,1,0,90,2,2,2,0.51
1,0,0,1,0,0,90,3,2,2,0.54
0,0,0,1,0,0,90,3,1,1,0.56
0,0,0,1,1,1,90,3,1,1,0.52
0,0,1,0,0,0,90,3,1,4,0.61
0,0,1,0,0,0,90,3,1,4,0.6
1,0,1,0,0,0,90,3,3,2,0.52
0,0,1,1,1,0,90,3,1,1,0.56
1,0,0,0,0,0,10,3,1,2,0.54
1,0,0,0,0,0,10,3,1,2,0.61
0,0,0,1,0,0,90,3,1,3,0.59
0,0,1,1,0,0,90,3,3,2,0.5
0,0,0,0,1,0,90,1,2,1,0.52
0,0,0,1,0,0,90,3,1,4,0.6
1,0,1,1,0,0,90,3,2,2,0.52
0,0,0,1,0,0,10,3,1,2,0.61
0,0,0,0,1,0,90,1,3,3,0.52
1,0,1,1,0,0,90,3,2,2,0.52
0,1,0,0,0,0,90,1,2,1,0.52
0,1,0,0,0,1,90,1,2,1,0.5
0,0,0,1,0,0,90,3,1,1,0.59
0,0,0,0,0,0,90,4,2,3,0.52
0,0,0,1,1,0,90,1,2,3,0.51
0,0,0,1,0,0,90,3,1,3,0.56
0,0,0,0,1,0,90,1,2,3,0.48
0,0,0,0,1,0,90,3,3,3,0.53
0,0,0,1,0,0,90,3,1,4,0.62
0,0,0,0,1,0,90,1,2,4,0.5
0,0,1,1,0,0,90,4,1,1,0.56
0,0,1,1,1,0,90,3,1,1,0.61
0,0,0,0,1,0,90,3,2,3,0.51
0,0,0,1,1,0,90,2,3,3,0.5
0,0,1,1,1,0,90,3,1,4,0.56
0,0,1,1,0,0,90,4,1,3,0.56
0,0,0,0,0,0,90,1,2,3,0.53
0,0,1,0,1,0,90,1,3,3,0.51
0,0,0,0,0,0,90,4,2,4,0.51
0,0,0,1,0,0,10,3,1,2,0.6
0,0,1,0,0,0,10,3,1,2,0.62
0,0,0,0,0,0,90,1,2,4,0.5
0,0,0,0,0,0,90,2,2,3,0.5
1,0,1,1,0,0,90,4,2,2,0.54
1,0,1,1,0,0,90,1,2,2,0.52
1,0,1,0,0,0,90,3,2,2,0.51
0,1,0,1,1,1,90,3,1,1,0.5
0,0,1,1,0,0,90,3,2,2,0.52
1,0,1,1,0,0,90,3,3,2,0.52
0,0,1,0,1,0,90,4,3,3,0.48
0,0,0,0,1,0,90,1,2,2,0.53
0,0,1,0,1,0,90,1,3,3,0.5
1,0,0,1,0,0,90,3,3,2,0.51
0,1,0,1,1,1,90,3,1,1,0.52
0,0,0,0,1,0,90,1,3,4,0.53
1,0,0,1,0,0,90,3,3,2,0.51
0,0,0,0,0,0,90,2,2,4,0.54
0,0,1,1,0,0,90,4,1,4,0.6
0,0,0,1,1,0,90,4,1,3,0.56
1,0,1,1,0,0,90,3,3,2,0.54
0,0,0,0,1,0,90,4,3,4,0.5
0,0,1,1,1,0,90,3,1,2,0.58
0,0,1,0,0,0,10,3,1,2,0.64
0,0,1,1,1,0,90,3,1,2,0.59
0,0,0,0,1,0,90,1,3,4,0.54
0,1,1,0,1,1,90,3,2,1,0.51
0,0,1,0,1,0,90,1,2,3,0.5
0,0,0,1,0,0,10,3,1,4,0.64
0,0,1,0,1,0,90,1,3,3,0.51
0,1,1,0,1,0,90,3,2,1,0.51
0,0,1,0,1,0,90,2,3,3,0.52
0,0,0,1,0,0,10,3,1,4,0.6
0,0,1,0,0,0,10,3,1,4,0.62
0,0,0,1,1,0,90,4,1,4,0.58
0,1,1,0,1,1,90,3,2,1,0.52
0,0,1,0,0,0,10,3,1,4,0.61
1,0,0,0,0,0,90,2,2,2,0.51
0,1,1,0,1,1,90,3,2,1,0.5
0,0,0,0,1,1,90,4,3,1,0.51
0,1,0,0,1,1,90,3,2,1,0.51
0,0,0,0,0,0,90,4,2,2,0.52
0,0,1,1,1,0,90,1,3,4,0.51
1,0,1,0,0,0,90,3,3,2,0.52
0,0,0,0,1,1,90,1,3,1,0.52
0,1,0,0,1,1,90,3,2,1,0.5
0,0,1,1,0,0,90,3,3,2,0.52
0,1,0,1,1,1,90,1,3,1,0.53
0,0,0,0,1,0,90,2,3,1,0.53
0,0,0,0,1,0,90,2,3,2,0.51
0,0,1,1,1,1,90,1,3,1,0.49
1,0,0,1,0,0,90,3,2,2,0.55
0,0,0,0,0,0,90,1,2,2,0.52
0,0,0,1,1,0,90,4,1,1,0.59
0,0,0,1,0,0,10,3,1,1,0.63
0,1,1,0,1,1,90,1,3,1,0.51
0,0,0,1,1,0,90,1,3,2,0.51
0,0,0,0,1,0,90,2,3,4,0.51
1,0,0,0,1,0,90,1,3,2,0.52
0,0,0,1,1,0,90,4,3,2,0.53
0,1,1,0,1,1,90,3,3,1,0.5
0,0,1,0,0,0,10,3,1,1,0.64
0,1,0,0,1,1,90,3,3,1,0.5
0,0,0,0,1,0,90,1,3,1,0.52
0,0,0,0,1,0,90,1,2,1,0.51
1,0,1,1,0,0,90,3,2,2,0.52
