iosCreateImagesetFolders,androidMipmapInsteadOfDrawable,scaleIsHeightDp,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,threads,outputCompressionMode,roundingStrategy,platform,time
0,0,1,1,0,0,90,1,3,2,1.1
0,0,1,1,1,1,90,2,3,1,1.31
0,0,1,1,0,0,90,4,2,2,1.1
0,0,1,1,0,0,90,1,1,3,1.12
1,0,0,0,0,0,90,3,2,2,1.13
1,0,0,1,1,0,10,4,3,2,1.26
1,0,0,1,1,0,10,1,3,2,1.18
1,0,0,1,1,0,10,1,3,2,1.17
0,0,1,0,0,0,90,4,3,1,1.23
0,1,1,0,1,0,90,2,1,1,1.34
0,0,0,0,1,0,90,3,2,4,1.17
0,1,1,1,1,0,90,1,3,1,1.28
0,0,0,0,1,0,90,3,2,4,1.23
0,0,0,1,1,1,90,4,1,1,1.35
0,0,0,1,1,1,90,1,1,1,1.29
0,0,1,1,1,1,10,2,3,1,1.99
0,0,1,1,1,1,90,2,1,1,1.31
0,0,0,0,0,1,90,4,3,1,1.29
0,0,0,0,0,0,90,1,2,4,1.17
0,0,1,1,1,0,10,4,3,2,1.2
0,1,0,0,0,0,90,4,3,1,1.21
0,0,0,0,0,0,90,1,2,3,1.13
0,0,0,0,0,0,90,1,2,2,1.17
0,1,0,0,0,0,90,2,3,1,1.24
0,0,1,1,1,0,10,1,3,2,1.16
0,1,0,0,1,1,90,4,1,1,1.27
0,1,0,0,1,1,90,1,1,1,1.33
0,0,0,1,0,0,90,3,2,2,1.22
0,1,1,0,0,1,90,1,3,1,1.37
0,0,1,1,1,1,10,2,1,1,2.03
0,0,1,0,0,0,90,3,2,2,1.09
0,0,0,1,1,1,90,2,3,1,1.33
0,0,0,0,1,1,90,3,1,1,1.25
0,1,1,1,1,0,90,4,1,1,1.26
0,0,0,1,1,0,90,1,2,4,1.21
0,1,1,1,1,0,90,1,1,1,1.24
0,0,0,1,1,0,90,1,2,4,1.19
0,1,1,1,1,0,90,3,3,1,1.24
0,0,1,0,1,0,90,1,1,3,1.11
0,0,0,0,1,1,90,3,1,1,1.26
0,0,1,1,0,0,10,1,1,3,1.07
0,0,0,1,1,0,90,1,2,3,1.06
0,0,1,0,0,0,90,1,3,1,1.22
0,0,0,0,0,0,90,4,2,4,1.22
0,0,1,0,1,1,90,2,1,1,1.32
0,0,1,0,1,0,10,1,1,3,1.07
1,0,1,1,0,0,90,3,2,2,1.1
0,0,1,1,1,0,10,1,3,2,1.16
0,1,1,1,1,0,90,3,3,1,1.24
0,1,0,1,1,0,90,3,3,1,1.31
0,0,0,1,1,0,90,4,2,4,1.18
0,0,0,0,0,1,90,1,3,1,1.32
1,0,1,0,0,0,90,1,2,2,1.09
1,0,0,0,0,0,90,4,2,2,1.11
0,1,1,1,1,0,90,3,1,1,1.27
0,0,0,1,0,0,10,2,2,2,1.4
0,1,1,1,1,0,90,3,1,1,1.22
0,0,0,1,1,1,10,2,3,1,2.1
1,0,1,1,0,0,10,2,2,2,1.36
0,1,0,1,1,0,90,3,1,1,1.21
0,1,0,1,1,0,90,3,1,1,1.22
0,1,1,0,1,0,90,3,3,1,1.27
0,1,1,1,1,0,90,3,1,1,1.27
0,0,1,0,0,0,90,4,2,2,1.11
0,0,0,1,1,1,90,2,1,1,1.32
0,1,0,1,1,1,90,3,1,1,1.29
0,1,1,0,1,0,90,3,1,1,1.24
0,0,0,1,1,1,10,2,1,1,2.15
0,1,0,1,1,1,90,3,1,1,1.31
0,1,0,0,1,0,90,4,2,1,1.16
0,0,1,1,1,1,90,2,3,1,1.33
0,1,1,0,1,0,90,3,1,1,1.22
0,1,0,1,0,0,90,4,2,1,1.25
0,0,1,1,1,1,10,2,3,1,2.08
1,0,0,0,0,0,90,1,2,2,1.14
0,0,1,0,0,0,90,1,2,2,1.14
0,1,1,1,0,0,90,3,3,1,1.24
0,0,0,1,0,0,10,2,3,2,1.38
1,0,1,1,0,0,10,2,3,2,1.44
1,0,1,0,1,0,10,3,3,2,1.13
0,0,1,0,0,0,90,4,2,4,1.18
1,0,1,0,1,0,10,3,1,2,1.12
0,0,1,0,0,0,90,1,3,2,1.12
1,0,1,0,1,0,10,3,1,2,1.14
0,0,1,1,1,1,90,3,1,1,1.29
0,0,1,0,1,1,10,2,3,1,1.96
1,0,0,1,1,0,10,2,2,2,1.41
0,0,1,1,1,1,90,2,1,1,1.36
0,0,1,0,0,0,90,1,2,4,1.18
0,0,0,0,0,0,90,4,2,3,1.08
0,0,1,1,1,1,10,2,1,1,2.12
0,0,1,0,1,1,90,2,1,1,1.3
0,0,1,1,1,0,10,2,2,2,1.32
0,0,0,0,0,0,90,2,2,3,1.09
1,0,1,0,0,0,90,4,2,2,1.09
0,0,1,0,1,1,10,2,1,1,1.92
1,0,0,1,1,0,10,2,3,2,1.52
0,0,1,1,1,0,10,2,3,2,1.35
0,0,1,1,1,0,90,3,2,2,1.11
0,0,1,0,0,0,90,3,2,3,1.05
1,0,1,0,0,0,90,1,2,2,1.14
0,0,0,0,0,0,90,3,2,4,1.19
0,0,1,0,0,0,90,3,2,4,1.26
0,0,1,0,1,1,90,3,2,1,1.3
0,0,1,0,1,1,90,3,2,1,1.3
0,0,1,0,1,1,90,3,1,1,1.3
0,0,1,0,1,1,90,3,3,1,1.29
0,0,1,1,1,1,10,4,3,1,1.61
0,0,1,0,1,1,90,3,3,1,1.29
0,0,0,0,0,0,90,3,2,4,1.19
0,0,1,0,1,1,10,3,1,1,1.6
0,0,1,1,1,1,90,3,1,1,1.26
0,0,1,0,0,0,90,3,2,4,1.17
0,0,1,0,0,0,90,4,3,2,1.13
0,0,1,1,1,1,10,1,3,1,1.57
0,0,1,1,1,1,90,4,2,1,1.3
0,0,0,0,0,0,90,2,2,4,1.25
0,0,1,1,1,1,90,4,3,1,1.36
0,1,1,0,1,1,90,3,1,1,1.29
0,0,0,0,0,0,90,2,2,3,1.05
0,0,1,1,1,1,90,1,3,1,1.29
0,0,1,0,0,0,90,2,3,2,1.13
0,0,0,0,0,0,90,1,2,3,1.09
0,0,0,0,0,0,90,4,2,3,1.06
0,0,1,0,1,1,10,3,3,1,1.54
0,0,0,0,0,0,90,1,2,4,1.26
0,0,1,0,0,0,90,4,2,2,1.13
0,0,1,0,0,0,90,1,3,1,1.22
0,0,1,1,1,1,10,4,1,1,1.63
0,0,0,0,0,0,90,4,2,4,1.15
0,0,0,0,0,1,90,1,3,1,1.28
0,0,1,0,0,0,90,1,3,2,1.16
0,0,0,0,0,0,90,3,2,2,1.09
0,0,1,1,1,1,10,1,1,1,1.55
0,0,1,1,1,1,90,4,1,1,1.31
0,1,1,0,1,1,90,3,1,1,1.27
0,0,0,0,1,0,90,3,2,3,1.04
0,0,0,1,0,0,90,3,2,4,1.26
0,0,0,0,0,0,90,1,3,1,1.23
0,0,1,0,0,0,90,1,2,2,1.16
0,0,1,0,1,1,10,3,3,1,1.55
0,1,1,1,0,1,90,3,1,1,1.35
0,0,0,1,0,0,90,3,2,3,1.07
1,0,0,0,0,0,90,4,3,2,1.1
1,0,0,0,0,0,90,1,3,2,1.11
0,0,0,0,1,0,90,3,3,4,1.14
0,1,1,1,0,1,90,3,1,1,1.29
0,0,1,0,0,0,90,3,2,2,1.12
1,0,0,0,0,0,90,3,2,2,1.07
0,1,0,1,0,1,90,4,1,1,1.34
0,0,1,0,0,0,90,4,3,2,1.11
0,0,1,0,0,0,90,1,3,1,1.25
0,0,1,1,1,1,90,1,1,1,1.3
0,0,0,0,0,1,90,1,3,1,1.27
0,0,0,0,0,1,10,1,2,1,1.58
0,0,1,0,0,0,90,3,2,2,1.12
0,0,0,1,0,0,10,1,3,1,1.45
0,0,1,0,1,1,10,3,1,1,1.57
0,0,1,0,0,0,90,1,3,2,1.12
1,0,0,0,0,0,90,3,2,2,1.13
0,0,0,1,1,1,10,3,1,1,1.56
1,0,1,0,1,0,90,4,2,2,1.12
1,0,1,0,1,0,90,3,1,2,1.2
0,0,0,0,1,0,90,3,3,3,1.07
0,0,0,0,0,0,90,3,2,2,1.12
0,1,0,1,0,1,90,1,1,1,1.28
0,0,0,1,0,0,90,1,3,1,1.24
0,0,1,1,1,0,90,3,3,1,1.25
0,0,1,0,0,0,90,3,2,2,1.13
0,0,0,1,1,1,90,3,1,1,1.33
1,0,1,0,1,0,90,1,2,2,1.15
0,0,0,1,1,1,90,3,1,1,1.37
0,0,0,1,0,0,90,3,3,3,1.15
1,0,1,0,1,0,90,1,2,2,1.12
0,0,0,1,1,1,10,3,1,1,1.66
0,0,0,0,1,0,10,3,2,4,1.19
0,0,0,0,1,0,90,4,3,2,1.11
0,1,0,0,0,1,90,3,1,1,1.3
0,0,1,0,1,1,10,3,1,1,1.57
0,0,0,0,1,0,10,3,2,3,1.04
0,0,1,0,1,1,90,3,1,1,1.24
0,0,0,1,0,0,90,4,2,4,1.23
0,0,0,1,0,0,10,3,2,4,1.23
0,1,0,0,0,1,90,3,1,1,1.29
0,1,1,1,1,1,90,2,1,1,1.32
0,0,1,0,1,1,90,3,1,1,1.33
0,0,0,0,1,0,90,1,3,2,1.11
1,0,1,0,1,0,90,4,3,2,1.09
0,0,0,1,0,0,90,1,2,4,1.16
1,0,1,0,1,0,90,1,3,2,1.15
1,0,1,0,1,0,90,1,3,2,1.11
0,1,1,0,0,1,90,2,1,1,1.32
0,0,1,1,1,0,90,3,3,1,1.28
1,0,0,0,0,0,90,2,2,2,1.19
0,0,0,1,0,0,10,1,3,3,1.06
0,0,0,1,0,0,90,4,2,2,1.12
0,1,0,1,0,1,90,2,1,1,1.31
0,0,0,1,0,0,90,1,3,3,1.04
0,0,0,1,0,0,10,3,2,3,1.04
1,0,1,1,0,0,90,1,2,2,1.19
0,0,0,1,0,0,90,1,3,4,1.17
0,0,1,1,1,1,90,3,3,1,1.29
0,0,1,1,1,1,90,3,3,1,1.32
0,0,0,0,1,0,10,3,3,3,1.06
0,1,1,1,0,0,90,4,1,1,1.22
0,0,1,0,0,0,90,2,2,2,1.13
0,1,1,1,0,0,90,1,1,1,1.25
0,0,0,1,1,1,90,3,3,1,1.28
0,0,0,1,0,0,90,3,2,2,1.17
0,0,0,0,1,0,90,4,3,1,1.25
0,0,0,1,0,0,90,2,3,1,1.25
0,1,0,0,0,0,90,2,2,1,1.23
0,0,1,1,0,1,90,1,3,1,1.35
0,0,0,1,0,0,10,3,3,4,1.32
0,0,1,1,0,1,90,3,1,1,1.3
0,0,0,1,0,0,90,2,3,2,1.15
0,0,0,1,0,0,10,3,3,3,1.04
0,1,0,1,1,1,90,3,3,1,1.29
0,0,0,1,0,0,90,3,2,1,1.29
1,0,0,0,0,0,90,2,3,2,1.18
0,0,0,0,1,0,90,2,2,2,1.13
0,0,1,1,0,1,10,3,1,1,1.59
1,0,1,0,1,0,90,2,2,2,1.17
0,0,1,0,0,0,90,3,2,1,1.22
0,0,1,0,1,1,10,3,1,1,1.51
1,0,1,0,1,0,90,2,3,2,1.13
0,0,1,0,0,0,90,3,3,1,1.24
0,0,1,1,0,1,90,3,1,1,1.31
0,0,0,1,0,0,90,2,2,2,1.11
1,0,0,1,1,0,90,4,1,2,1.19
0,0,0,1,1,0,90,4,2,3,1.07
0,0,1,0,0,0,90,3,3,1,1.23
0,0,1,1,0,1,90,4,3,1,1.32
1,0,0,1,1,0,90,1,1,2,1.17
0,0,0,1,1,0,90,2,2,4,1.23
1,0,0,0,0,0,90,2,2,2,1.23
0,0,1,1,0,1,90,1,3,1,1.29
0,0,0,1,1,0,90,2,2,3,1.08
0,0,1,0,0,0,90,2,2,1,1.22
1,0,1,1,0,0,90,1,3,2,1.14
1,0,1,0,0,0,90,3,1,2,1.11
0,1,0,1,1,1,90,3,3,1,1.37
1,0,1,0,0,0,90,3,1,2,1.13
0,0,0,0,0,1,90,2,2,1,1.34
0,0,1,1,0,1,90,4,1,1,1.32
1,0,1,1,0,0,90,3,3,2,1.15
0,0,1,1,0,1,90,1,1,1,1.33
1,0,1,1,0,0,90,3,3,2,1.15
1,0,1,1,0,0,90,3,2,2,1.14
1,0,0,0,0,0,90,3,3,2,1.1
0,0,0,1,0,1,90,3,3,1,1.3
0,0,1,1,0,0,90,4,2,3,1.08
1,0,0,1,0,0,90,3,1,2,1.13
0,0,0,1,0,1,90,3,1,1,1.28
1,0,1,1,0,0,90,1,2,2,1.13
1,0,0,1,0,0,90,3,1,2,1.14
1,0,0,0,1,0,90,3,1,2,1.13
0,0,0,1,0,0,90,3,3,2,1.17
1,0,0,0,1,0,90,3,1,2,1.12
1,0,1,1,0,0,90,4,1,2,1.13
1,0,1,1,0,0,90,1,1,2,1.11
1,0,1,0,1,0,90,4,1,2,1.15
0,0,0,1,0,1,90,3,3,1,1.28
0,0,1,1,1,0,90,3,3,2,1.14
0,0,1,0,0,0,90,3,3,2,1.11
0,0,1,1,0,1,90,3,3,1,1.34
0,0,1,1,0,0,90,1,2,3,1.07
0,0,0,1,0,1,90,3,1,1,1.28
0,1,0,1,0,1,90,1,3,1,1.28
1,0,1,0,1,0,90,1,1,2,1.1
1,0,1,1,1,0,90,3,1,2,1.15
0,0,0,1,0,0,90,3,2,2,1.12
0,1,1,1,0,1,90,3,3,1,1.37
0,0,1,1,0,0,90,2,2,4,1.19
1,0,1,1,1,0,90,3,1,2,1.15
0,0,0,0,0,0,90,3,3,2,1.14
0,1,1,1,0,0,90,1,3,1,1.24
0,0,0,0,0,0,90,3,3,2,1.11
0,0,0,0,0,0,10,1,3,1,1.45
0,0,0,0,0,0,90,1,3,3,1.06
0,0,0,0,0,0,10,1,3,3,1.02
1,0,0,0,0,0,90,3,3,2,1.14
0,0,0,1,0,0,90,3,3,2,1.19
1,0,0,0,0,0,90,3,3,2,1.14
0,0,1,1,0,0,90,2,2,3,1.09
0,0,1,0,0,1,90,3,3,1,1.31
0,0,1,0,1,0,90,4,2,3,1.04
0,0,1,1,0,1,90,3,3,1,1.27
0,1,1,1,0,1,90,3,3,1,1.32
0,0,1,0,1,0,90,1,2,3,1.03
0,0,0,0,0,0,90,1,3,4,1.19
0,0,0,0,0,0,10,1,3,4,1.29
0,0,1,1,1,0,90,4,1,2,1.15
0,1,0,1,0,1,90,3,3,1,1.31
0,0,1,1,1,0,90,1,1,2,1.14
1,0,1,1,1,0,90,3,3,2,1.09
0,0,0,0,1,0,90,1,3,1,1.23
0,0,1,1,1,0,90,1,3,1,1.22
0,0,1,1,0,0,90,3,1,2,1.16
0,0,0,1,0,0,90,3,3,2,1.1
0,0,0,0,1,0,90,4,3,2,1.12
0,0,1,0,0,1,90,3,1,1,1.34
1,0,0,1,1,0,90,1,3,2,1.12
0,0,1,0,0,0,90,2,2,3,1.04
0,0,1,1,0,1,90,3,1,1,1.27
0,0,1,1,0,0,90,3,1,2,1.14
0,0,1,0,1,0,90,2,2,3,1.07
0,0,1,0,0,0,90,3,3,2,1.09
0,0,1,1,1,0,90,1,3,2,1.2
1,0,1,1,1,0,90,3,3,2,1.13
0,0,1,0,1,0,90,2,3,4,1.27
0,0,1,0,0,0,90,2,2,4,1.23
0,0,1,0,1,0,90,3,1,2,1.13
0,0,1,0,0,0,90,3,3,2,1.13
0,0,1,0,1,0,90,3,1,2,1.14
0,0,1,0,0,1,90,3,3,1,1.31
1,0,0,1,1,0,90,2,1,2,1.19
0,0,1,1,0,0,90,2,3,4,1.17
0,0,1,1,1,0,90,2,1,2,1.14
0,0,1,0,0,0,90,4,2,3,1.02
0,0,1,1,0,1,90,3,3,1,1.28
1,0,1,0,1,0,90,1,3,2,1.1
0,0,0,0,1,0,90,1,3,1,1.32
0,0,1,0,0,1,90,3,1,1,1.29
0,0,1,0,0,0,90,1,2,3,1.13
0,0,0,1,1,0,90,4,3,4,1.24
0,0,0,1,1,0,10,4,3,4,1.23
0,0,0,0,1,0,90,1,3,2,1.13
0,0,1,1,0,1,90,3,1,1,1.33
1,0,1,0,1,0,90,2,1,2,1.13
0,0,0,1,0,0,90,3,2,4,1.18
0,0,1,0,0,0,90,4,2,1,1.21
0,0,0,1,1,0,10,1,3,4,1.2
0,0,0,1,1,0,10,4,2,4,1.32
1,0,1,1,0,0,90,2,1,2,1.13
0,0,0,0,1,0,90,4,2,1,1.28
0,0,0,1,0,0,90,3,2,4,1.16
0,0,1,1,0,1,90,2,3,1,1.37
0,0,1,1,1,0,90,3,3,4,1.17
1,0,1,0,0,0,90,2,1,2,1.12
0,0,0,1,1,0,10,1,2,4,1.23
0,0,0,0,1,0,90,1,2,1,1.26
0,0,1,1,1,0,90,1,2,1,1.29
1,0,0,0,0,0,10,3,2,2,1.18
0,0,0,0,0,0,90,4,3,4,1.17
0,0,1,1,0,1,90,2,1,1,1.32
0,0,1,0,0,0,90,1,2,1,1.18
0,0,1,1,0,1,90,2,2,1,1.33
0,0,0,0,1,0,90,4,2,4,1.14
0,0,1,1,1,0,90,3,2,1,1.23
1,0,0,1,0,0,90,2,1,2,1.16
0,0,1,0,0,0,90,4,2,4,1.24
0,0,1,1,0,1,10,2,3,1,2.04
0,0,1,1,0,1,10,2,2,1,2.11
0,0,0,0,1,0,90,1,2,4,1.16
0,0,0,0,0,0,90,1,3,4,1.16
0,1,1,1,0,1,10,2,2,1,2.02
0,0,1,0,0,0,90,1,2,4,1.2
0,1,0,1,0,1,10,2,2,1,2.0
0,0,1,1,1,1,90,3,2,1,1.35
0,0,1,1,0,0,90,2,1,1,1.25
0,0,1,1,0,0,90,2,1,2,1.15
0,0,1,1,0,0,90,2,1,3,1.07
0,0,0,1,1,0,90,1,3,4,1.17
0,0,0,1,1,0,10,1,3,4,1.27
0,0,0,1,0,0,10,3,2,2,1.3
0,0,1,1,0,0,90,2,1,4,1.22
0,0,1,1,1,1,90,3,2,1,1.3
0,0,1,1,0,1,90,2,1,1,1.34
0,1,1,1,1,0,90,3,2,1,1.22
0,0,0,0,0,0,10,4,3,4,1.21
0,0,0,1,0,1,90,2,1,1,1.36
0,0,1,0,0,0,10,3,2,2,1.14
0,0,1,1,1,0,90,1,2,4,1.13
0,0,0,0,1,0,90,4,2,2,1.2
0,0,0,1,0,0,10,3,2,4,1.23
0,0,0,0,0,0,10,1,3,4,1.19
0,0,1,0,0,0,10,3,2,4,1.27
0,1,1,1,0,1,10,2,3,1,2.08
0,0,1,0,0,1,90,2,1,1,1.36
1,0,0,0,0,0,10,3,2,2,1.22
0,1,1,1,0,0,90,2,1,1,1.28
0,1,1,1,1,0,90,3,2,1,1.24
0,0,0,1,0,0,10,3,2,2,1.14
0,1,0,1,1,1,90,3,2,1,1.28
0,1,0,0,0,0,90,4,2,1,1.18
0,0,0,0,1,0,90,1,2,2,1.18
0,1,0,1,0,0,90,2,1,1,1.25
0,1,1,0,0,0,90,2,1,1,1.26
0,1,0,0,0,1,90,2,1,1,1.31
0,1,0,1,0,1,10,2,3,1,2.06
1,0,0,1,1,0,90,1,2,2,1.12
0,1,0,0,0,0,90,1,2,1,1.27
0,0,0,1,1,0,90,1,2,4,1.19
0,0,0,0,0,1,90,4,2,1,1.28
0,0,0,0,0,1,90,1,2,1,1.28
0,1,0,1,1,1,90,3,2,1,1.37
0,0,1,0,0,0,10,3,2,2,1.2
0,0,0,1,1,0,90,1,3,1,1.25
1,0,1,1,0,0,90,2,1,2,1.14
0,0,1,1,1,1,90,3,2,1,1.25
0,0,1,1,0,0,90,3,1,1,1.26
0,0,0,0,0,1,90,4,2,1,1.3
0,0,1,1,0,0,90,3,1,4,1.24
0,0,1,1,1,0,90,1,2,2,1.12
0,0,0,1,1,0,90,1,2,1,1.23
0,0,0,0,0,1,90,1,2,1,1.31
0,0,0,0,1,0,90,3,3,1,1.3
0,0,1,1,0,0,90,3,1,3,1.08
0,1,1,0,0,1,10,2,3,1,1.96
0,0,0,0,1,0,90,2,2,1,1.23
0,1,1,0,0,1,10,2,2,1,2.0
0,1,1,0,0,1,90,2,2,1,1.34
0,1,0,1,0,1,90,2,2,1,1.34
0,0,0,1,0,0,10,3,2,4,1.23
0,0,1,1,0,0,90,3,1,1,1.21
0,1,1,1,0,1,90,2,3,1,1.3
0,0,1,0,0,0,10,3,2,4,1.25
0,1,1,0,0,1,90,2,3,1,1.32
0,1,0,1,0,1,90,2,3,1,1.39
1,0,0,0,0,0,90,3,1,2,1.12
0,0,0,0,1,0,90,3,2,1,1.22
0,0,0,1,1,1,90,3,2,1,1.35
0,0,0,0,0,1,90,2,2,1,1.32
0,0,0,0,1,0,90,3,3,1,1.25
0,0,0,1,1,1,90,3,2,1,1.29
0,0,1,1,0,0,90,3,1,4,1.17
0,0,1,1,0,0,90,3,1,3,1.04
1,0,0,0,0,0,90,3,1,2,1.16
0,0,0,1,0,0,90,3,1,2,1.17
0,0,0,0,0,0,90,2,2,1,1.23
0,1,1,1,1,0,90,3,2,1,1.25
0,1,0,1,1,1,90,3,2,1,1.28
0,1,1,1,0,1,90,3,2,1,1.29
0,0,0,0,1,0,90,3,3,4,1.18
0,1,1,1,0,1,90,2,2,1,1.34
0,0,1,1,0,1,90,3,2,1,1.3
0,0,1,1,0,1,90,3,2,1,1.36
0,0,0,1,1,0,90,1,3,3,1.09
0,0,1,0,0,0,90,3,1,3,1.06
0,0,0,1,0,0,90,3,1,2,1.11
0,0,1,0,0,0,90,3,1,4,1.22
0,0,1,0,0,0,90,3,1,3,1.07
0,1,1,0,0,1,90,2,1,1,1.39
0,1,1,1,0,1,90,3,2,1,1.28
0,1,1,1,0,1,90,3,2,1,1.26
0,0,1,0,0,0,90,3,1,4,1.2
0,0,1,0,0,0,90,3,1,2,1.13
0,0,0,0,1,0,90,2,2,4,1.17
0,1,0,1,0,1,90,3,2,1,1.31
0,0,0,1,1,0,90,4,3,3,1.07
0,1,0,1,0,1,90,3,2,1,1.36
0,1,0,0,0,0,90,2,2,1,1.24
0,0,1,1,0,1,90,3,1,1,1.32
0,0,1,1,0,1,90,3,1,1,1.29
0,0,1,0,0,0,90,3,1,1,1.22
0,0,1,1,1,1,90,3,1,1,1.29
0,0,1,0,0,0,90,3,1,1,1.3
0,0,1,0,0,0,90,3,1,2,1.1
0,0,0,1,0,0,90,3,1,4,1.2
0,1,0,1,0,1,90,2,1,1,1.38
0,0,1,1,1,1,90,3,1,1,1.31
0,0,0,1,1,0,90,1,3,3,1.03
0,0,0,1,1,0,90,1,2,3,1.1
0,0,0,1,0,0,90,3,1,4,1.2
0,1,1,1,0,1,90,2,1,1,1.36
0,1,0,1,0,1,10,2,1,1,1.99
0,0,0,0,0,0,90,1,2,1,1.23
0,1,1,1,0,1,10,2,1,1,1.99
0,1,1,0,0,1,10,2,1,1,2.01
0,0,0,1,1,0,90,1,3,3,1.07
0,0,1,1,0,1,10,2,1,1,2.06
0,0,0,1,1,1,90,3,1,1,1.33
0,1,1,1,0,1,90,2,3,1,1.36
0,1,0,0,0,0,90,4,2,1,1.27
0,1,1,1,0,1,90,2,2,1,1.32
0,0,0,0,1,0,90,2,2,2,1.14
1,0,0,1,0,0,90,3,2,2,1.12
0,0,0,1,0,0,90,3,1,1,1.2
0,0,0,1,1,1,90,3,1,1,1.27
0,0,1,0,0,0,90,3,1,4,1.22
0,0,1,0,0,0,90,3,1,4,1.2
1,0,1,0,0,0,90,3,3,2,1.12
0,0,1,1,1,0,90,3,1,1,1.23
1,0,0,0,0,0,10,3,1,2,1.18
1,0,0,0,0,0,10,3,1,2,1.23
0,0,0,1,0,0,90,3,1,3,1.06
0,0,1,1,0,0,90,3,3,2,1.12
0,0,0,0,1,0,90,1,2,1,1.25
0,0,0,1,0,0,90,3,1,4,1.19
1,0,1,1,0,0,90,3,2,2,1.19
0,0,0,1,0,0,10,3,1,2,1.21
0,0,0,0,1,0,90,1,3,3,1.01
1,0,1,1,0,0,90,3,2,2,1.07
0,1,0,0,0,0,90,1,2,1,1.22
0,1,0,0,0,1,90,1,2,1,1.33
0,0,0,1,0,0,90,3,1,1,1.25
0,0,0,0,0,0,90,4,2,3,1.08
0,0,0,1,1,0,90,1,2,3,1.09
0,0,0,1,0,0,90,3,1,3,1.06
0,0,0,0,1,0,90,1,2,3,1.04
0,0,0,0,1,0,90,3,3,3,1.04
0,0,0,1,0,0,90,3,1,4,1.16
0,0,0,0,1,0,90,1,2,4,1.17
0,0,1,1,0,0,90,4,1,1,1.28
0,0,1,1,1,0,90,3,1,1,1.31
0,0,0,0,1,0,90,3,2,3,1.06
0,0,0,1,1,0,90,2,3,3,1.06
0,0,1,1,1,0,90,3,1,4,1.19
0,0,1,1,0,0,90,4,1,3,1.16
0,0,0,0,0,0,90,1,2,3,1.04
0,0,1,0,1,0,90,1,3,3,1.09
0,0,0,0,0,0,90,4,2,4,1.16
0,0,0,1,0,0,10,3,1,2,1.19
0,0,1,0,0,0,10,3,1,2,1.18
0,0,0,0,0,0,90,1,2,4,1.19
0,0,0,0,0,0,90,2,2,3,1.08
1,0,1,1,0,0,90,4,2,2,1.16
1,0,1,1,0,0,90,1,2,2,1.12
1,0,1,0,0,0,90,3,2,2,1.19
0,1,0,1,1,1,90,3,1,1,1.29
0,0,1,1,0,0,90,3,2,2,1.1
1,0,1,1,0,0,90,3,3,2,1.13
0,0,1,0,1,0,90,4,3,3,1.03
0,0,0,0,1,0,90,1,2,2,1.12
0,0,1,0,1,0,90,1,3,3,1.07
1,0,0,1,0,0,90,3,3,2,1.16
0,1,0,1,1,1,90,3,1,1,1.31
0,0,0,0,1,0,90,1,3,4,1.19
1,0,0,1,0,0,90,3,3,2,1.18
0,0,0,0,0,0,90,2,2,4,1.2
0,0,1,1,0,0,90,4,1,4,1.19
0,0,0,1,1,0,90,4,1,3,1.03
1,0,1,1,0,0,90,3,3,2,1.1
0,0,0,0,1,0,90,4,3,4,1.14
0,0,1,1,1,0,90,3,1,2,1.12
0,0,1,0,0,0,10,3,1,2,1.15
0,0,1,1,1,0,90,3,1,2,1.21
0,0,0,0,1,0,90,1,3,4,1.18
0,1,1,0,1,1,90,3,2,1,1.28
0,0,1,0,1,0,90,1,2,3,1.07
0,0,0,1,0,0,10,3,1,4,1.27
0,0,1,0,1,0,90,1,3,3,1.07
0,1,1,0,1,0,90,3,2,1,1.29
0,0,1,0,1,0,90,2,3,3,1.09
0,0,0,1,0,0,10,3,1,4,1.25
0,0,1,0,0,0,10,3,1,4,1.28
0,0,0,1,1,0,90,4,1,4,1.15
0,1,1,0,1,1,90,3,2,1,1.3
0,0,1,0,0,0,10,3,1,4,1.16
1,0,0,0,0,0,90,2,2,2,1.2
0,1,1,0,1,1,90,3,2,1,1.27
0,0,0,0,1,1,90,4,3,1,1.31
0,1,0,0,1,1,90,3,2,1,1.28
0,0,0,0,0,0,90,4,2,2,1.09
0,0,1,1,1,0,90,1,3,4,1.18
1,0,1,0,0,0,90,3,3,2,1.13
0,0,0,0,1,1,90,1,3,1,1.31
0,1,0,0,1,1,90,3,2,1,1.26
0,0,1,1,0,0,90,3,3,2,1.2
0,1,0,1,1,1,90,1,3,1,1.35
0,0,0,0,1,0,90,2,3,1,1.24
0,0,0,0,1,0,90,2,3,2,1.14
0,0,1,1,1,1,90,1,3,1,1.32
1,0,0,1,0,0,90,3,2,2,1.2
0,0,0,0,0,0,90,1,2,2,1.12
0,0,0,1,1,0,90,4,1,1,1.24
0,0,0,1,0,0,10,3,1,1,1.36
0,1,1,0,1,1,90,1,3,1,1.3
0,0,0,1,1,0,90,1,3,2,1.14
0,0,0,0,1,0,90,2,3,4,1.17
1,0,0,0,1,0,90,1,3,2,1.1
0,0,0,1,1,0,90,4,3,2,1.2
0,1,1,0,1,1,90,3,3,1,1.32
0,0,1,0,0,0,10,3,1,1,1.35
0,1,0,0,1,1,90,3,3,1,1.36
0,0,0,0,1,0,90,1,3,1,1.18
0,0,0,0,1,0,90,1,2,1,1.25
1,0,1,1,0,0,90,3,2,2,1.09
